,loc,lat,lng,city,state,white population,black population,asian/pacific islander population,hispanic population
0,"Albany,NY",42.65257929999999,-73.7562317,Albany,NY,49842,26819,7351,9612
1,"Anaheim,CA",33.8365932,-117.91430120000001,Anaheim,CA,87991,7843,57829,187931
2,"Arlington,TX",32.735687,-97.1080656,Arlington,TX,155606,83045,26868,112283
3,"Aurora,CO",39.729431899999994,-104.8319195,Aurora,CO,162887,54510,22287,102317
4,"Austin,TX",30.267153000000004,-97.7430608,Austin,TX,445269,66724,63752,316709
5,"Bakersfield,CA",35.3732921,-119.0187125,Bakersfield,CA,125649,26557,27231,183427
6,"Baltimore,MD",39.2903848,-76.6121893,Baltimore,MD,170916,385831,16081,30729
7,"Burlington,VT",44.475882500000004,-73.21207199999998,Burlington,VT,35112,2324,2663,1214
8,"Camden,NJ",39.9259463,-75.1196199,Camden,NJ,4471,30980,2331,36629
9,"Charlotte,NC",35.2270869,-80.8431267,Charlotte,NC,348789,285294,51713,115379
10,"Chicago,IL",41.8781136,-87.62979820000001,Chicago,IL,890322,820180,168017,789713
11,"Cincinnati,OH",39.103118200000004,-84.5120196,Cincinnati,OH,144219,127334,6209,10821
12,"Columbus,OH",39.9611755,-82.99879419999998,Columbus,OH,484096,237522,44685,50707
13,"Denver,CO",39.739235799999996,-104.990251,Denver,CO,363712,62166,24660,207100
14,"Durham,NC",35.99403289999999,-78.898619,Durham,NC,99726,100587,13336,35919
15,"Fayetteville,NC",35.0526641,-78.87835849999998,Fayetteville,NC,82299,84714,6380,25187
16,"Fort Wayne,IN",41.079273,-85.13935129999999,Fort Wayne,IN,179213,38699,11362,22869
17,"Gilbert,AZ",33.3528264,-111.789027,Gilbert,AZ,164725,6719,14190,37905
18,"Grand Forks,ND",47.9252568,-97.0328547,Grand Forks,ND,47515,2054,1732,2008
19,"Greensboro,NC",36.072635399999996,-79.79197540000001,Greensboro,NC,125177,117957,12808,20654
20,"Hartford,CT",41.76580429999999,-72.6733723,Hartford,CT,18404,43870,3639,55086
21,"Houston,TX",29.7604267,-95.36980279999999,Houston,TX,564663,507466,151268,1008249
22,"Idaho Falls,ID",43.49266069999999,-112.0407584,Idaho Falls,ID,48276,328,790,8682
23,"Little Rock,AR",34.7464809,-92.2895948,Little Rock,AR,91432,81912,6086,13382
24,"Long Beach,CA",33.770050399999995,-118.1937395,Long Beach,CA,129957,58260,65319,201523
25,"Madison,WI",43.07305170000001,-89.4012302,Madison,WI,185297,16024,21821,17473
26,"Mesa,AZ",33.4151843,-111.83147240000001,Mesa,AZ,300206,16779,11088,131448
27,"Nashville,TN",36.1626638,-86.78160159999999,Nashville,TN,363838,180916,23990,67765
28,"New Orleans,LA",29.95106579999999,-90.0715323,New Orleans,LA,118660,229389,11519,21448
29,"Oklahoma City,OK",35.4675602,-97.5164276,Oklahoma City,OK,340999,90054,28391,120183
30,"Owensboro,KY",37.771907399999996,-87.1111676,Owensboro,KY,49581,3910,1043,2192
31,"Philadelphia,PA",39.9525839,-75.1652215,Philadelphia,PA,548312,648846,110864,221777
32,"Plano,TX",33.0198431,-96.6988856,Plano,TX,154625,22930,54591,40907
33,"Raleigh,NC",35.7795897,-78.6381787,Raleigh,NC,240400,127049,20726,49226
34,"Saint Paul,MN",44.953702899999996,-93.0899578,Saint Paul,MN,156681,46559,53948,29207
35,"Saint Petersburg,FL",27.767600800000004,-82.64029149999998,Saint Petersburg,FL,161439,57914,8564,19555
36,"San Antonio,TX",29.4241219,-98.4936282,San Antonio,TX,366363,95102,40092,935458
37,"San Bernardino,CA",34.1083449,-117.2897652,San Bernardino,CA,32877,28442,9348,138349
38,"San Diego,CA",32.715738,-117.1610838,San Diego,CA,599633,84367,234807,417128
39,"San Francisco,CA",37.7749295,-122.4194155,San Francisco,CA,353000,43961,295619,131949
40,"San Jose,CA",37.338208200000004,-121.88632859999998,San Jose,CA,271027,29147,356846,330827
41,"Santa Ana,CA",33.7454725,-117.867653,Santa Ana,CA,31499,2716,38872,258449
42,"Seattle,WA",47.6062095,-122.33207079999998,Seattle,WA,449138,47961,101477,44505
43,"Stockton,CA",37.9577016,-121.29077959999998,Stockton,CA,64568,33699,66610,128451
44,"Tacoma,WA",47.252876799999996,-122.4442906,Tacoma,WA,124898,20082,20614,24021
45,"Tampa,FL",27.950575,-82.4571776,Tampa,FL,165660,84061,15596,92494
46,"Tulsa,OK",36.1539816,-95.992775,Tulsa,OK,220273,59926,13424,63466
47,"Wichita,KS",37.68717609999999,-97.330053,Wichita,KS,245499,42485,19353,65090
48,"Winston-Salem,NC",36.09985959999999,-80.24421600000001,Winston-Salem,NC,110217,82468,5575,35706
