city,district,minority_group,minority_search_rate,n,state,white_search_rate
New Orleans,1,asian/pacific islander,0.03333333333333333,30,LA,0.0641573994867408
New Orleans,1,other/unknown,0.020833333333333332,48,LA,0.0641573994867408
New Orleans,1,black,0.11778523489932886,2980,LA,0.0641573994867408
New Orleans,1,hispanic,0.08144796380090498,221,LA,0.0641573994867408
New Orleans,2,asian/pacific islander,0.0,43,LA,0.07086614173228346
New Orleans,2,other/unknown,0.0,42,LA,0.07086614173228346
New Orleans,2,hispanic,0.0440251572327044,159,LA,0.07086614173228346
New Orleans,2,black,0.15047923322683707,3130,LA,0.07086614173228346
New Orleans,3,asian/pacific islander,0.0,54,LA,0.038992201559688064
New Orleans,3,hispanic,0.04522613065326633,199,LA,0.038992201559688064
New Orleans,3,black,0.08168442415017757,5913,LA,0.038992201559688064
New Orleans,3,other/unknown,0.028985507246376812,69,LA,0.038992201559688064
New Orleans,4,hispanic,0.043010752688172046,93,LA,0.039568345323741004
New Orleans,4,other/unknown,0.041666666666666664,24,LA,0.039568345323741004
New Orleans,4,black,0.1096938775510204,2744,LA,0.039568345323741004
New Orleans,4,asian/pacific islander,0.03333333333333333,60,LA,0.039568345323741004
New Orleans,5,hispanic,0.07692307692307693,65,LA,0.06873614190687362
New Orleans,5,other/unknown,0.0,22,LA,0.06873614190687362
New Orleans,5,asian/pacific islander,0.1111111111111111,9,LA,0.06873614190687362
New Orleans,5,black,0.0,1754,LA,0.06873614190687362
New Orleans,6,other/unknown,0.03076923076923077,130,LA,0.0501813784764208
New Orleans,6,asian/pacific islander,0.02,50,LA,0.0501813784764208
New Orleans,6,hispanic,0.04897959183673469,245,LA,0.0501813784764208
New Orleans,6,black,0.12250822527578865,5167,LA,0.0501813784764208
New Orleans,7,black,0.11642335766423358,2740,LA,0.11797752808988764
New Orleans,7,other/unknown,0.058823529411764705,17,LA,0.11797752808988764
New Orleans,7,asian/pacific islander,0.0,36,LA,0.11797752808988764
New Orleans,7,hispanic,0.05555555555555555,54,LA,0.11797752808988764
New Orleans,8,black,0.1451990632318501,1708,LA,0.09298085688240657
New Orleans,8,asian/pacific islander,0.0,38,LA,0.09298085688240657
New Orleans,8,hispanic,0.08108108108108109,111,LA,0.09298085688240657
New Orleans,8,other/unknown,0.019230769230769232,156,LA,0.09298085688240657
Philadelphia,11.0,asian/pacific islander,0.013921113689095127,431,PA,0.011111111111111112
Philadelphia,11.0,hispanic,0.029197080291970802,137,PA,0.011111111111111112
Philadelphia,11.0,black,0.03833634719710669,2765,PA,0.011111111111111112
